Configuration,Optimizer,Accuracy,Precision,Recall,F1-Score
Config 1,SGD,0.8064 ± 0.0235,0.8081 ± 0.0232,0.8064 ± 0.0235,0.8060 ± 0.0237
Config 1,Adam,0.8224 ± 0.0173,0.8232 ± 0.0174,0.8224 ± 0.0173,0.8220 ± 0.0174
Config 1,Adagrad,0.7064 ± 0.0301,0.7211 ± 0.0266,0.7064 ± 0.0301,0.7027 ± 0.0343
Config 1,Adadelta,0.6412 ± 0.0219,0.6489 ± 0.0217,0.6412 ± 0.0219,0.6402 ± 0.0217
Config 2,SGD,0.8072 ± 0.0248,0.8094 ± 0.0226,0.8072 ± 0.0248,0.8064 ± 0.0255
Config 2,Adam,0.8060 ± 0.0125,0.8115 ± 0.0149,0.8060 ± 0.0125,0.8052 ± 0.0126
Config 2,Adagrad,0.7216 ± 0.0276,0.7349 ± 0.0132,0.7216 ± 0.0276,0.7179 ± 0.0333
Config 2,Adadelta,0.6364 ± 0.0189,0.6478 ± 0.0212,0.6364 ± 0.0189,0.6340 ± 0.0180
Config 3,SGD,0.8240 ± 0.0255,0.8267 ± 0.0263,0.8240 ± 0.0255,0.8238 ± 0.0255
Config 3,Adam,0.8252 ± 0.0179,0.8282 ± 0.0159,0.8252 ± 0.0179,0.8250 ± 0.0182
Config 3,Adagrad,0.7040 ± 0.0213,0.7146 ± 0.0149,0.7040 ± 0.0213,0.7011 ± 0.0248
Config 3,Adadelta,0.6088 ± 0.0155,0.6311 ± 0.0251,0.6088 ± 0.0155,0.6008 ± 0.0277
Config 4,SGD,0.8260 ± 0.0197,0.8290 ± 0.0184,0.8260 ± 0.0197,0.8257 ± 0.0198
Config 4,Adam,0.8368 ± 0.0135,0.8374 ± 0.0131,0.8368 ± 0.0135,0.8368 ± 0.0135
Config 4,Adagrad,0.7036 ± 0.0222,0.7180 ± 0.0119,0.7036 ± 0.0222,0.6998 ± 0.0271
Config 4,Adadelta,0.6112 ± 0.0239,0.6155 ± 0.0233,0.6112 ± 0.0239,0.5887 ± 0.0649
